Computer,TimeGenerated [UTC],EventId,SubType,ClientIP,Name,Result,Message,TaskCategory,QueryType,ResultCode,MaliciousIP,IndicatorThreatType,Description,Confidence,Severity,ReportReferenceLink,RemoteIPLongitude,RemoteIPLatitude,RemoteIPCountry,Type,_ResourceId
USDC01.tyrellcorp.us,"2/5/2022, 5:43:07.550 PM",257,LookupQuery,192.168.57.49,airhobi.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/5/2022, 5:43:07.550 PM",257,LookupQuery,192.168.57.49,yudaisuzuki.jp,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/5/2022, 5:43:07.550 PM",257,LookupQuery,192.168.57.49,yudaisuzuki.jp,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/5/2022, 5:43:07.550 PM",257,LookupQuery,192.168.57.49,zspwolawiazowa.pl,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 9:28:24.910 AM",257,LookupQuery,192.168.59.43,www.sf-cdn.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 9:28:24.908 AM",257,LookupQuery,192.168.59.43,www.sf-cdn.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 9:28:24.847 AM",257,LookupQuery,192.168.59.43,www.sf-cdn.net,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 9:28:24.414 AM",257,LookupQuery,192.168.59.43,ens-ec2-13.sf-event.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 9:28:24.406 AM",257,LookupQuery,192.168.59.43,ens-ec2-13.sf-event.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 9:28:24.168 AM",257,LookupQuery,192.168.59.43,api.office.net,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 9:28:24.155 AM",257,LookupQuery,192.168.59.43,api.office.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 9:28:23.820 AM",257,LookupQuery,192.168.59.43,ocsp.quovadisoffshore.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 9:28:23.382 AM",257,LookupQuery,192.168.59.59,mobile.launchdarkly.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 9:28:23.360 AM",257,LookupQuery,192.168.59.59,mobile.launchdarkly.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 9:02:53.840 AM",257,LookupQuery,192.168.57.67,outlookmobile-office365-tas.msedge.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 9:02:53.826 AM",257,LookupQuery,192.168.57.67,outlookmobile-office365-tas.msedge.net,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 8:34:52.295 AM",257,LookupQuery,192.168.59.79,connect.facebook.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 8:34:52.294 AM",257,LookupQuery,192.168.59.79,connect.facebook.net,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 8:34:52.233 AM",257,LookupQuery,192.168.59.79,www.googletagmanager.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 8:34:52.218 AM",257,LookupQuery,192.168.59.79,www.googletagmanager.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 8:34:51.874 AM",257,LookupQuery,192.168.59.79,widgets.binotel.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 8:34:51.874 AM",257,LookupQuery,192.168.59.79,widgets.binotel.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 8:33:50.752 AM",257,LookupQuery,192.168.57.77,southcentralus2-sphomep.svc.ms,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 8:33:50.716 AM",257,LookupQuery,192.168.57.77,southcentralus2-sphomep.svc.ms,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 8:33:49.937 AM",257,LookupQuery,192.168.57.77,cdnjs.cloudflare.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 8:33:49.937 AM",257,LookupQuery,192.168.57.77,cdnjs.cloudflare.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 8:33:49.886 AM",257,LookupQuery,192.168.57.77,publiccdn.sharepointonline.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 8:33:49.882 AM",257,LookupQuery,192.168.57.77,publiccdn.sharepointonline.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 8:33:49.797 AM",257,LookupQuery,192.168.57.77,privatecdn.sharepointonline.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 8:33:49.789 AM",257,LookupQuery,192.168.57.77,privatecdn.sharepointonline.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 8:33:49.769 AM",257,LookupQuery,192.168.57.77,maxcdn.bootstrapcdn.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 8:33:49.768 AM",257,LookupQuery,192.168.57.77,maxcdn.bootstrapcdn.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 8:14:43.766 AM",257,LookupQuery,192.168.49.47,ads57.adtelligent.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 8:14:43.687 AM",257,LookupQuery,192.168.49.47,player.adtelligent.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:06.456 AM",257,LookupQuery,192.168.57.65,ssc-cms.33across.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:06.456 AM",257,LookupQuery,192.168.57.65,ssc-cms.33across.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:06.456 AM",257,LookupQuery,192.168.57.65,www.ukr.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:05.456 AM",257,LookupQuery,192.168.57.70,binaries.templates.cdn.office.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:05.455 AM",257,LookupQuery,192.168.57.70,binaries.templates.cdn.office.net,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:05.238 AM",257,LookupQuery,192.168.57.70,metadata.templates.cdn.office.net,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:05.213 AM",257,LookupQuery,192.168.57.70,metadata.templates.cdn.office.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:03.070 AM",257,LookupQuery,192.168.57.53,cedexis-ssl.cdn.warpcache.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:02.891 AM",257,LookupQuery,192.168.57.53,hwcdnssl.cedexis-test.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:02.891 AM",257,LookupQuery,192.168.57.53,hwcdnssl.cedexis-test.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:02.764 AM",257,LookupQuery,192.168.57.53,cdnetworks.cedexis-test.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:02.403 AM",257,LookupQuery,192.168.57.53,limelight-ssl.cedexis-test.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:02.382 AM",257,LookupQuery,192.168.57.53,limelight-ssl.cedexis-test.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:02.284 AM",257,LookupQuery,192.168.57.53,p41683.cedexis-test.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:02.280 AM",257,LookupQuery,192.168.57.53,p41683.cedexis-test.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:02.190 AM",257,LookupQuery,192.168.57.53,media-akam.licdn.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:02.190 AM",257,LookupQuery,192.168.57.53,media-akam.licdn.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:02.149 AM",257,LookupQuery,192.168.57.53,level3ssl.optimicdn.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:01.877 AM",257,LookupQuery,192.168.57.53,level3ssl.optimicdn.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:01.777 AM",257,LookupQuery,192.168.57.53,vdms-ssl.cedexis-test.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:01.740 AM",257,LookupQuery,192.168.57.53,vdms-ssl.cedexis-test.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:01.547 AM",257,LookupQuery,192.168.224.48,trc.taboola.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:01.546 AM",257,LookupQuery,192.168.224.48,trc.taboola.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:01.525 AM",257,LookupQuery,192.168.224.48,img.img-taboola.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:01.524 AM",257,LookupQuery,192.168.224.48,img.img-taboola.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:01.481 AM",257,LookupQuery,192.168.57.53,i2-wdcymnhaxkxcjgkzxliefkcfaaiqhk.init.cedexis-radar.net,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:01.376 AM",257,LookupQuery,192.168.57.53,i2-wdcymnhaxkxcjgkzxliefkcfaaiqhk.init.cedexis-radar.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:01.253 AM",257,LookupQuery,192.168.224.48,am-api.taboola.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:59:01.239 AM",257,LookupQuery,192.168.224.48,am-api.taboola.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:58:58.776 AM",257,LookupQuery,192.168.49.47,ssp-sync.criteo.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:58:58.617 AM",257,LookupQuery,192.168.49.47,bidder.criteo.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:58:58.597 AM",257,LookupQuery,192.168.49.47,rtb.adxpremium.services,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:58:58.595 AM",257,LookupQuery,192.168.49.47,bidder.criteo.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:58:58.192 AM",257,LookupQuery,192.168.55.33,statics.teams.cdn.office.net,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:58:58.191 AM",257,LookupQuery,192.168.55.33,statics.teams.cdn.office.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:58:56.569 AM",257,LookupQuery,192.168.57.69,cs.emxdgt.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:58:56.566 AM",257,LookupQuery,192.168.57.69,match.360yield.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:58:56.558 AM",257,LookupQuery,192.168.57.69,match.360yield.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:58:56.540 AM",257,LookupQuery,192.168.57.69,pm.w55c.net,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:58:56.526 AM",257,LookupQuery,192.168.57.69,pm.w55c.net,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:58:56.509 AM",257,LookupQuery,192.168.57.69,cs.emxdgt.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:58:44.630 AM",257,LookupQuery,192.168.59.79,widgets.binotel.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:58:44.609 AM",257,LookupQuery,192.168.59.79,widgets.binotel.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:58:39.195 AM",257,LookupQuery,192.168.32.9,www.tuya.com.co,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:58:36.961 AM",257,LookupQuery,192.168.32.9,www2.embratel.com.br,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:58:35.192 AM",257,LookupQuery,192.168.59.76,status.avid.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:58:35.151 AM",257,LookupQuery,192.168.59.76,status.avid.com,,,,A,0,,,,,,,,,,DnsEvents,
USDC01.tyrellcorp.us,"2/3/2022, 7:58:33.182 AM",257,LookupQuery,192.168.59.59,everywhere.avid.com,,,,AAAA,0,,,,,,,,,,DnsEvents,
